"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1916","the rooms table renders after login","chromium","Mon Sep 14 13:43:55 UTC 2026","passed","Mon Sep 14 13:43:57 UTC 2026","admin room management","","",""
"","228","GET /message/count returns a non-negative integer","api","Mon Sep 14 13:43:35 UTC 2026","passed","Mon Sep 14 13:43:35 UTC 2026","contact messages API","","",""
"","3603","book buttons are clickable in viewport order","webkit","Mon Sep 14 13:44:32 UTC 2026","passed","Mon Sep 14 13:44:35 UTC 2026","home page navigation","","",""
"","1","logout invalidates the token","api","Mon Sep 14 13:43:28 UTC 2026","skipped","Mon Sep 14 13:43:28 UTC 2026","auth session lifecycle","","",""
"","1465","rejects login: right user, wrong password","firefox","Mon Sep 14 13:43:54 UTC 2026","passed","Mon Sep 14 13:43:55 UTC 2026","admin login","","",""
"","1811","book buttons are clickable in viewport order","firefox","Mon Sep 14 13:44:12 UTC 2026","passed","Mon Sep 14 13:44:14 UTC 2026","home page navigation","","",""
"","2158","two sequential logins each issue an independently valid token","api","Mon Sep 14 13:43:27 UTC 2026","passed","Mon Sep 14 13:43:29 UTC 2026","auth session lifecycle","","",""
"","1747","renders at least one room card","chromium","Mon Sep 14 13:44:03 UTC 2026","passed","Mon Sep 14 13:44:05 UTC 2026","home page navigation","","",""
"","872","validate rejects an empty token","api","Mon Sep 14 13:43:27 UTC 2026","passed","Mon Sep 14 13:43:28 UTC 2026","auth session lifecycle","","",""
"","240","created room appears in the list with the submitted fields","api","Mon Sep 14 13:43:37 UTC 2026","passed","Mon Sep 14 13:43:38 UTC 2026","room admin CRUD","","",""
"","2904","the inbox lists messages","chromium","Mon Sep 14 13:43:52 UTC 2026","passed","Mon Sep 14 13:43:55 UTC 2026","admin message inbox","","",""
"","2429","the create-room form exposes the room fields","firefox","Mon Sep 14 13:44:03 UTC 2026","passed","Mon Sep 14 13:44:06 UTC 2026","admin room management","","",""
"","1509","valid credentials log the admin in","chromium","Mon Sep 14 13:43:47 UTC 2026","passed","Mon Sep 14 13:43:48 UTC 2026","admin login","","",""
"","742","valid credentials return a non-empty token","api","Mon Sep 14 13:43:28 UTC 2026","passed","Mon Sep 14 13:43:29 UTC 2026","auth API","","",""
"","4991","branding details load from the nav","firefox","Mon Sep 14 13:43:45 UTC 2026","passed","Mon Sep 14 13:43:50 UTC 2026","admin branding page","","",""
"","591","login form has username and password fields","chromium","Mon Sep 14 13:43:51 UTC 2026","passed","Mon Sep 14 13:43:52 UTC 2026","admin login","","",""
"","1109","login form has username and password fields","firefox","Mon Sep 14 13:43:57 UTC 2026","passed","Mon Sep 14 13:43:58 UTC 2026","admin login","","",""
"","405","filtering by roomid returns only matching bookings (loose check)","api","Mon Sep 14 13:43:33 UTC 2026","passed","Mon Sep 14 13:43:33 UTC 2026","booking list & filter","","",""
"","9250","the Front Page link returns to the public site","webkit","Mon Sep 14 13:43:52 UTC 2026","passed","Mon Sep 14 13:44:01 UTC 2026","admin navigation out of the portal","","",""
"","1588","shows at least one bookable room","chromium","Mon Sep 14 13:43:02 UTC 2026","passed","Mon Sep 14 13:43:03 UTC 2026","@smoke home page","","",""
"","3188","contact section becomes visible after scrolling","webkit","Mon Sep 14 13:44:28 UTC 2026","passed","Mon Sep 14 13:44:32 UTC 2026","contact form","","",""
"","2159","admin can log in with valid credentials","chromium","Mon Sep 14 13:42:59 UTC 2026","passed","Mon Sep 14 13:43:01 UTC 2026","@smoke admin portal","","",""
"","1924","title matches the expected pattern","firefox","Mon Sep 14 13:44:13 UTC 2026","passed","Mon Sep 14 13:44:15 UTC 2026","home page navigation","","",""
"","2370","the rooms table renders after login","firefox","Mon Sep 14 13:44:02 UTC 2026","passed","Mon Sep 14 13:44:04 UTC 2026","admin room management","","",""
"","651","DELETE /room/{id} removes the room","api","Mon Sep 14 13:43:38 UTC 2026","passed","Mon Sep 14 13:43:39 UTC 2026","room admin CRUD","","",""
"","255","POST creates a booking and returns the persisted entity","api","Mon Sep 14 13:43:30 UTC 2026","passed","Mon Sep 14 13:43:30 UTC 2026","booking CRUD","","",""
"","4575","user can submit a valid contact message","webkit","Mon Sep 14 13:44:24 UTC 2026","passed","Mon Sep 14 13:44:28 UTC 2026","contact form","","",""
"","1513","a message can be marked read and then deleted","api","Mon Sep 14 13:43:36 UTC 2026","passed","Mon Sep 14 13:43:37 UTC 2026","contact messages API","","",""
"","6200","the Front Page link returns to the public site","firefox","Mon Sep 14 13:43:45 UTC 2026","passed","Mon Sep 14 13:43:51 UTC 2026","admin navigation out of the portal","","",""
"","2443","rejects login: right user, wrong password","webkit","Mon Sep 14 13:44:04 UTC 2026","passed","Mon Sep 14 13:44:07 UTC 2026","admin login","","",""
"","1888","contact section becomes visible after scrolling","firefox","Mon Sep 14 13:44:10 UTC 2026","passed","Mon Sep 14 13:44:12 UTC 2026","contact form","","",""
"","1547","book buttons are clickable in viewport order","chromium","Mon Sep 14 13:44:05 UTC 2026","passed","Mon Sep 14 13:44:06 UTC 2026","home page navigation","","",""
"","1573","contact section becomes visible after scrolling","chromium","Mon Sep 14 13:44:03 UTC 2026","passed","Mon Sep 14 13:44:05 UTC 2026","contact form","","",""
"","1","happy path: guest details + future dates produce a confirmation","firefox","Mon Sep 14 13:44:08 UTC 2026","skipped","Mon Sep 14 13:44:08 UTC 2026","booking flow","","",""
"","3037","admin can create a room and see it listed","firefox","Mon Sep 14 13:44:04 UTC 2026","passed","Mon Sep 14 13:44:07 UTC 2026","admin room management","","",""
"","2735","the create-room form exposes the room fields","webkit","Mon Sep 14 13:44:16 UTC 2026","passed","Mon Sep 14 13:44:19 UTC 2026","admin room management","","",""
"","1","cancel closes the booking form","webkit","Mon Sep 14 13:44:24 UTC 2026","skipped","Mon Sep 14 13:44:24 UTC 2026","booking flow","","",""
"","259","GET /room/{id} returns the created room","api","Mon Sep 14 13:43:38 UTC 2026","passed","Mon Sep 14 13:43:38 UTC 2026","room admin CRUD","","",""
"","4179","renders at least one room card","webkit","Mon Sep 14 13:44:30 UTC 2026","passed","Mon Sep 14 13:44:35 UTC 2026","home page navigation","","",""
"","1118","booking list returns within a reasonable time","api","Mon Sep 14 13:43:34 UTC 2026","passed","Mon Sep 14 13:43:35 UTC 2026","booking list & filter","","",""
"","3732","the Front Page link returns to the public site","chromium","Mon Sep 14 13:43:43 UTC 2026","passed","Mon Sep 14 13:43:46 UTC 2026","admin navigation out of the portal","","",""
"","2095","loads with the hotel hero visible","chromium","Mon Sep 14 13:43:00 UTC 2026","passed","Mon Sep 14 13:43:03 UTC 2026","@smoke home page","","",""
"","3464","a message sent via the contact API shows up in the inbox","chromium","Mon Sep 14 13:43:54 UTC 2026","passed","Mon Sep 14 13:43:57 UTC 2026","admin message inbox","","",""
"","1854","message field accepts long text","chromium","Mon Sep 14 13:44:01 UTC 2026","passed","Mon Sep 14 13:44:03 UTC 2026","contact form","","",""
"","4070","logout leaves the portal for the public site","firefox","Mon Sep 14 13:43:51 UTC 2026","passed","Mon Sep 14 13:43:55 UTC 2026","admin navigation out of the portal","","",""
"","475","a booking created on room 1 is returned when scoping to room 1","api","Mon Sep 14 13:43:32 UTC 2026","passed","Mon Sep 14 13:43:33 UTC 2026","booking filter edges","","",""
